tf,scc_size,recovered,recovered_by_set
accA,2,False,
accD,2,False,
acrR,68,True,1
adiY,68,True,2
arcA,68,True,3
argP,68,True,1
argR,68,True,8
bglJ,68,False,
bolA,68,True,1
cpxR,68,True,3
cra,68,True,4
crp,68,True,4
csgD,68,True,1
cspA,68,True,2
csrA,68,True,5
cytR,68,True,1
deaD,68,True,2
dinJ,2,False,
dksA,68,True,5
dnaA,68,True,1
evgA,68,True,5
exuR,2,False,
fis,68,True,3
flhC,68,True,1
flhD,68,True,1
fliA,68,True,1
fliZ,68,True,1
fnr,68,True,6
fur,68,True,1
gadE,68,True,6
gadW,68,True,2
gadX,68,True,6
galR,2,False,
galS,2,False,
glnG,68,True,7
gutM,2,False,
hdfR,68,True,1
higA,2,False,
higB,2,False,
hipA,2,False,
hipB,2,False,
hns,68,True,2
ihfA,68,True,7
ihfB,68,True,7
leuO,68,False,
lexA,68,True,2
lldR,68,True,2
lrhA,68,True,1
lrp,68,True,8
marA,3,False,
marR,3,False,
matA,68,True,1
mazE,2,False,
mazF,2,False,
mlrA,68,True,1
mqsA,68,True,2
nac,68,True,8
ompR,68,True,1
oxyR,68,True,1
phoB,68,True,9
phoP,68,True,1
qseB,68,True,1
rcsA,68,True,1
rcsB,68,True,2
relB,2,False,
relE,2,False,
rhaR,2,False,
rhaS,2,False,
rob,3,True,9
rpoD,68,True,2
rpoE,68,True,9
rpoH,68,True,1
rpoN,68,True,4
rpoS,68,True,10
rpsA,68,True,3
rpsF,2,False,
rpsR,2,False,
rstA,68,True,1
rutR,68,True,6
sdiA,68,True,2
slyA,68,True,1
soxR,68,True,1
soxS,68,True,1
srlR,2,False,
stpA,68,True,1
sutR,68,True,1
torR,68,True,2
uxuR,2,False,
yafQ,2,False,
ydeO,68,True,6
ydiP,68,True,2
yefM,2,False,
yjjQ,68,True,1
yoeB,2,False,
zraR,68,True,4
